text,label
digital image similarity for knowledge management james david and michela digital medium centre dublin institute of technology dublin ireland jcarswell smart medium institute department of computer science university college dublin belfield dublin ireland abstract the amount and availability of image data such a digital satellite and aerial photograph is increasing dramatically management of such visual information and associated knowledge is a central concern for organisation that rely on digital imagery we are developing knowledge management technique that employ reasoning a the core methodology in order to provide effective retrieval of experience that center around imagery we need to forward novel similarity metric for directly comparing the image component of experience case based on work in image database retrieval we are building an effective similarity metric for imagery that make comparison based on derived image feature their shape and the spatial relation between them this paper give an overview of the knowledge management context describes our image similarity metric and provides an initial evaluation of the work reference ackerman digital image correlation performance and potential application in photogrammetry photogrammetric record agouris bertolotto carswell georgiadis and stefanidis scale and scene similarity metric for image query international journal of geographical information science agouris carswell and stefanidis an environment for image retrieval from large spatial database isprs journal of photogrammetry remote sensing agouris carswell and stefanidis image query in topographic database journal of visual communication and image representation peggy agouris michela bertolotto james carswell and anthony stefanidis a scene similarity metric for matching configuration of image object in proceeding of the xix isprs congress amsterdam aha maurer and editor proceeding of the workshop on exploring synergy of knowledge management and reasoning aaai press and aha problem solving for knowledge management system in proceeding of the twelfth annual florida artificial intelligence research symposium page aaai carson belongie greenspan and malik image querying in proceeding of the ieee workshop on access of image and video library page san juan puerto rico carswell using raster sketch for digital image retrieval phd thesis university of maine orono maine usa cohen and guibas indexing and retrieval some first step in proceeding of the arpa image understanding workshop volume page coulon image retrieval without recognition in first european workshop on reasoning poster and presentation volume of page ellen do and mark gross reasoning about case with diagram in american society of civil engineer asce congress on computing in civil engineering page egenhofer and franzosa topological spatial relation international journal of geographical information system egenhofer and mark naive geography spatial information theory a theoretical basis for gi in frank and kuhn editor lecture note in computer science page egenhofer and sharma topological consistency in proceeding of the international symposium on spatial data handling page forsyth et al finding picture of object in large collection of image in proceeding of the eccv workshop on object representation flickner et al query by image and video content the qbic system ieee computer kurt fenstermacher and garsten tautz editor proceeding of the workshop on reasoning approach for knowledge management frankel swain and athitsos webseer an image search engine for the world wide web technical report department of computer science university of chicago glasgow and jurisica integration of and reasoning in proceeding of the workshop on reasoning goyal and egenhofer cardinal direction between extended spatial object ieee transaction on knowledge and data engineering morten grimnes and agnar aamodt a two layer reasoning architecture for medical image understanding in proceeding of page gross zimring and do using diagram to access a case library of design in proceeding of the international conference on artificial intelligence in design page kluwer gruen and baltsavias geometrically constrained multiphoto matching photogrammetric engineering and remote sensing gudivada and raghavan design and evaluation of algorithm for image retrieval by spatial similarity acm transaction on information system holt and benwell reasoning and spatial analysis journal of the urban and regional information system association holt and benwell applying reasoning technique in gi the international journal of geographical information science jose singh venkataraman and krishnan vector based image matching for indexing in case based reasoning system in proceeding of g jurisica rogers glasgow fortier luft bianca and detitta extraction for protein crystallization integrating image analysis and reasoning in proceeding of the thirteenth annual conference on innovative application of artificial intelligence page daniel kaster heloisa vieira rocha and claudia bauzer medeiros reasoning applied to environmental modeling with gi in proceeding of giscience khattak and renski plan hov a reasoning planning tool for lane analysis in a gi environment transportation research record kitano and shimazu the experience sharing architecture a case study in software quality control in leake editor reasoning experience lesson and future direction page aaai press menlo park ca yu ting hung tsou chang a urban planning support system using an integrated combination of geographical information system and remote sensing in proceeding of the asian conference on remote sensing leake cbr capturing and reusing reasoning about case adaptation international journal of expert system david leake and david wilson a framework for interactive capture and reuse of design knowledge applied intelligence macura and macura macrad retrieval system for radiology image resource in proceeding of mehrotra and gray retrieval in shape data management ieee computer alessandro micarelli alessandro neri and giuseppe sansonetti a approach to image recognition in proceeding of page mirjam minor and steffen staab editor proceeding of the german workshop on experience management narasimhalu cafiir an image based application in proceeding of the aaai spring symposium on reasoning and information retrieval page ogle chabot retrieval from a relational database of image ieee computer page september pentland picard and scarloff photobook manipulation of image database international journal of computer vision perner an architeture for a cbr image segmentation system engineering application of artificial intelligence perner ultra sonic image interpretation in proceeding of page pickard and minka vision texture for annotation multimedia system proceeding of knowledge management by reasoning experience management a reuse of knowledge sclaroff taycher and la cascia imagerover a image browser for the world wide web in proceeding of the ieee workshop on access of image and video library page venkataraman krishnan and rao a based system for image analysis in first european workshop on reasoning ewcbr poster and presentation volume of page,1
an initial experiment into drug design using inductive logic programming stephen muggleton david page ashwin srinivasan oxford university computing laboratory wolfson building park road oxford united kingdom abstract previous application of inductive logic programming to drug design have not addressed stereochemistry or the aspect of molecule while some success is possible without consideration of stereochemistry researcher within the pharmaceutical industry consider stereochemistry to be central to most drug design problem this paper report on an experimental application of the ilp system to drug design the experiment test whether can identify the structure responsible for the activity of ace enzyme inhibitor from positive example that is from molecule that display the activity of ace inhibition ace inhibitor are a form of medication for the treatment of hypertension it should be stressed that this structure wa already known prior to the experiment and therefore is not a new discovery the experiment wa proposed by a researcher within the pharmaceutical industry to test the applicability of ilp to drug design while the result of the experiment is quite positive one challenge remains before ilp can be applied to a multitude of drug design problem reference debnath lopez de compadre debnath schusterman and hansch relationship of mutagenic aromatic and heteroaromatic nitro compound correlation with molecular orbital energy and hydrophobicity journal of medicinal chemistry king muggleton lewis and sternberg drug design by machine learning the use of inductive logic programming to model the relationship of trimethoprim analogue binding to dihydrofolate reductase proceeding of the national academy of science king muggleton srinivasan and sternberg relationship derived by machine learning the use of atom and their bond connective to predict mutagenicity by inductive logic programming proceeding of the national academy of science mayer naylor motoc and marshall a unique geometry of the active site of enzyme consistent with study journal of molecular design mcmurry organic chemistry edition publishing company pacific grove muggleton inverse entailment and progol new generation computing muggleton and feng efficient induction of logic program in proceeding of the first conference on algorithmic learning theory tokyo ohmsha nédellec rouveirol adé bergadano and tausend declarative bias in ilp in de raedt editor advance in inductive logic programming page los press amsterdam luc de raedt interactive theory revision an inductive logic programming approach academic press london,2
collaborative recommender system stefano aguzzoli paolo avesani and paolo massa via sommarive loc pantè povo trento italy aguzzoli avesani massa abstract we introduce an application combining cbr and collaborative filtering technique in the music domain we describe a scenario in which a new kind of recommendation is required which is capable of summarizing many recommendation in one suggestion our claim is that recommending one set of good is different from recommending a single good many time the paper illustrates how a reasoning approach can provide an effective solution to this problem reducing the drawback related to the user profile cocoa a compilation compiler advisor will be described a a running example of a collaborative recommendation system reference berry and dumais using linear algebra for intelligent information retrieval siam review page billsus and pazzani learning collaborative information filter technical report aaai july padraig cunningham ralph bergmann schmitt traphoener and breen websell intelligent sale assistant for the world wide web technical report trinity college dublin deerwester dumais furnas landauer and harshman indexing by latent semantic analysis journal of the american society for information science page george forsythe michael malcolm and cleve moler computer method for mathematical computation englewood cliff nj usa goldberg nichols oki and terry using collaborative filtering to weave an information tapestry communication of the acm gene golub and charles van loan matrix computation the john hopkins university press and north oxford academic baltimore md usa and oxford england hayes and cunningham smart radio building music radio on the fly in expert system cambridge uk thomas hofmann probabilistic latent semantic analysis page mcjones eachmovie collaborative filtering data set dec system research center http resnick and varian recommender system communication of the acm sarwar karypis konstan and riedl application of dimensionality reduction in recommender system a case study in acm webkdd web mining for workshop schafer konstan and riedl recommender system in in proceeding of the acm conference on electronic commerce pittsburgh pa usa november schmitt and bergmann applying reasoning technology for product selection and customization in electronic commerce environment in bled electronic commerce conference armin stahl and ralph bergmann applying recursive cbr for the customization of structured product in an electronic shop in ewcbr page wolfgang wilke mario lenz and stefan wess intelligent sale support with cbr in reasoning technology page,1
knowledge engineering for cbr system from a cognitive science perspective strube enzinger janetzko knauff cognitive science university of freiburg iig friedrichstr freiburg germany strube enzinger dietmar knauff abstract although cbr ha been advertised a a technique to elude knowledge engineering re we argue that modeling in ke is of eminent importance to the success of cbr system both for practical and theoretical reason case are knowledge structure linked to some underlying database although not necessarily in a fashion and in order to define case structure and their relation to the database domain knowledge is needed in this paper we focus on ke for cbr in the domain of architectural design first looking at general analysis of work process and information use then discussing of task structure in order to define case size finally proceeding to evaluation of the domain knowledge acquired and modeled so far reference chandrasekaran b generic task in reasoning building block for expert system design ieee expert clancey j heuristic dassification a rtificial intelligence burkhardt détienne an empirical study of software reuse by expert in design proceeding of interact lillehammer norway june drury paramore van cott grey corlett task analysis in salvendy ed handbook of human factor york wiley enzinger a forthcoming expert working input phil university of freiburg janetzko börner jäschke o strube knowledge acquisition and reasoning for design support system proceeding of the first european conference on cognitive science in industry september luxembourg kolodner j reasoning san mateo ca morgan kaufmänn newell a the knowledge level artificial intelligence riesbeck schank inside reasoning hillsdale nj erlbaum schreiber wielinga breuker j kads a principled approach to system development london academic press steel summer the component of expertise ai magazine also vub ai lab memo strube janetzko knauff in press cooperative construction of expert knowledge in baltes staudinger ed interactive mind cambridge cambridge university press van de velde issue in modelling in david krivine simmons ed second generation expert system pp berlin springer vanlehn problem solving and cognitive skill acquisition in posner ed foundation of cognitive science pp cambridge ma mit press bradford visser strategy in programming programmable controller field study on a professional programmer in olson sheppard soloway ed empirical study of programmer second workshop norwood nj ablex wielinga breuker a training of knowledge engineer using a structured methodology in bernold ed expert system and knowledge engineering pp amsterdam elsevier wielinga schreiber breuker a kads a modelling approach to knowledge engineering knowledge acquisition special issue kads approach to knowledge wielinga van de velde schreiber akkermans towards a unification of knowledge modelling approach in david krivine simmons ed second generation expert system pp berlin springer,1
analysis for elucidating current question answering technology marc light the mitre corporation burlington bedford ma light gideon mann department of computer science john hopkins university baltimore md gsm ellen rilo school of computing university of utah salt lake city ut rilo eric breck department of computer science cornell university upson hall ithaca ny ebreck received september abstract in this paper we take a detailed look at the performance of component of an idealized question answering system on two different task the trec question answering task and a set of reading comprehension exam we carry out three type of analysis inherent property of the data feature analysis and performance bound based on these analysis we explain some of the performance result of the current generation of system and make prediction on future work in particular we present four finding system performance is correlated with answer repetition relative overlap score are more effective than absolute overlap score equivalence class on scoring function can be used to quantify performance bound and perfect answer typing still leaf a great deal of ambiguity for a system because sentence often contain several item of the same type reference breck burger ferro hirschman house light and mani how to evaluate your question answering system every day and still get real work done in proceeding of the second conference on language resource and evaluation charniak altun de salvo braz garrett kosmala moscovich pang pyo sun wy yang zeller and zorn reading sion program in a class in workshop on reading comprehension test a evaluation for language standing system flesch mark of readable writing thesis harabagiu pasca and maiorano experiment with textual question answering in proceeding of the eighteenth international conference on computational linguistics coling hirschman light breck and burger deep read a reading system in proceeding of the annual meeting of the association for computational linguistics ng teo and kwan a machine learning approach to answering question for reading comprehension test in proceeding of at rilo and thelen a question answering system for reading comprehension test in workshop on reading comprehension test a evaluation for language understanding system proceeding proceeding of the eighth text retrieval conference national institute of standard and technology special publication burg md proceeding proceeding of the ninth text retrieval conference coming national institute of standard and technology special publication gaithersburg md wang auer parasuraman zubarev brandyberry and harper a question answering system developed a a project in a natural language processing course in workshop on reading comprehension test a evaluation for language understanding system,3
sonification and the interaction of perceptual dimension can the data get lost in the map john neuhoff gregory kramer joseph wayand department of psychology metta foundation department of psychology lafayette college nw brynwood lane kent state university easton pa portland or kent oh neuhoffj greg jwayand abstract many sonification technique use acoustic attribute such a frequency intensity and timbre to represent different characteristic of multidimensional data here we demonstrate a perceptual interaction between change in pitch and loudness a well a perceived asymmetry in directional change three experiment show that change in loudness can influence judgment of pitch change change in pitch can influence loudness change and that increase in loudness are judged to change more than equivalent decrease within a sonification of stock market data these characteristic created perceptual distortion in the data set the result imply that in situation where precision is critical caution should be exercised when using lower level acoustic dimension such a frequency and intensity to represent multidimensional data reference canévet scharf the loudness of sound that increase and decrease continuously in level journal of the acoustical society of america grau the distinction between integral and separable dimension evidence for the integrality of pitch and loudness journal of experimental psychology general processing integral dimension the whole view journal of experimental psychology human perception and performance kramer mapping a single data stream to multiple auditory variable a subjective approach to creating a compelling design proceeding of the international conference on auditory display kramer some organizing principle for auditory display in kramer g ed auditory display sonification audification and auditory interface sfi study in the science of complexity proc xviii reading ma mark bright sneeze and dark cough loud sunlight and soft moonlight journal of experimental psychology human perception and performance melara mark interaction among auditory dimension timbre pitch and loudness perception and psychophysics melara mark perceptual primacy of dimension support for a model of dimensional interaction journal of experimental psychology human perception and performance melara mark potts processing or dimensional similarity journal of experimental psychology human perception and performance neuhoff perceptual bias for rising tone nature neuhoff mcbeath the doppler illusion the influence of dynamic intensity change on perceived pitch journal of experimental psychology human perception and performance neuhoff mcbeath wanzie dynamic frequency change influence loudness perception a central analytic process journal of experimental psychology human perception and performance trumbo a theory for coloring bivariate statistical map the american statistician,4
searching the subsumption lattice by a genetic algorithm alireza and stephen muggleton department of computer science university of york york uk alireza stephen abstract a framework for combining genetic algorithm with llp method is introduced and a novel binary representation and relevant genetic operator are discussed it is shown that the proposed representation encodes a subsumption lattice in a complete and compact way it is also shown that the proposed genetic operator are meaningful and can be interpreted in ilp term such a lgg least general generalization and mgi most general instance these operator can be used to explore a subsumption lattice efficiently by doing binary operation an implementation of the proposed framework is used to combine inverse entailment of cprogol with a genetic search reference badea and stanciu refinement operator can be weakly perfect in dzeroski and flach editor proceeding of the international workshop on inductive logic programming volume of lecture note in artificial intelligence page giordana and neri concept induction evolutionary computation journal giordana and sale learning structured concept using genetic algorithm in sleeman and edward editor proceeding of the international workshop on machine learning page morgan kaufmann goldberg genetic algorithm in search optimization and machine learning addison wesley reading ma hekanaho dogma a relational learner in page editor proceeding of the international conference on inductive logic programming volume of lecture note in artificial intelligence page holland adaption in natural and artificial system university of michigan press ann arbor michigan claire kennedy and christophe an evolutionary approach to concept learning with structured data in proceeding of the fourth international conference on artificial neural network and genetic algorithm page springer verlag april kodratoff and michalski research in machine learning recent progress classification of method and future direction in kodratoff and michalski editor machine learning an artificial intelligence approach volume page morgan kaufman san mateo ca koza genetic programming mit press cambridge ma leung and wong genetic logic programming and application ieee expert michalski pattern recognition a inductive inference in proceeding of ieee transaction on pattern analysis and machine intelligence page muggleton inductive logic programming new generation computing muggleton inverse entailment and progol new generation computing and de wolf poundations of inductive logic programming berlin lnal plotkin a note on inductive generalisation in meltzer and michie editor machine intelligence page edinburgh university press edinburgh varsek inductive logic programming with genetic algorithm phd thesis faculty of electrical engineering and computer science university of ljubljana ljubljana slovenia in slovenian,2
responsive sonification of stephen barrass csir o mathematical and information science gpo box canberra act australia telephone fax n zehner gmd german national research center for information technology schloss birlinghoven sankt augustin germany abstract our goal is to apply and evaluate soniþcation for oil and gas exploration on a responsive workbench the are geological interpreter who build up model of underground formation and stake holder in a consortium of oil and gas company software vendor and virtual environment researcher based on the goal and user we formulated development criterion that the soniþcation should be easy to explain quick to understand useful and usable the development is based on a scenario of interpreting a reservoir from well log the scenario helped u identify a metaphor that is congruent with the domain and familiar to most user the psychoacoustic design of the virtual geiger allows several log to be heard together so that listener may answer higher level question about relation between log the virtual geiger ha been demonstrated to hundred of people at oil and gas summit and review meeting many who tried it have made suggestion for further sonifications the consortium voted to continue work on sonification in the second round of the project the work described here is supported by a demonstration video reference adam jt ayodel jk bedford and watt nl application of dipmeter data in structural interpretation niger delta ingeological application of wireline log ii geological society special publication no albers barrass brewster and mynatt b dissonance on audio interface ieee intelligent system and their application september http bertin j semiology of graphic reprinted by university of wisconsin press madison wi barrass s auditory information design thesis australian national university http barrass some golden rule for designing auditory display in boulanger ed csound book perspective in software synthesis sound design signal processing and programming mit press isbn bregman a auditory scene analysis mit press carroll jm ed designing interaction psychology at the interface cambridge university press dechelle and dececco the ircam platform and application proceeding of the international computer music conference international computer music association san francisco eckel m and becker b the development of gist a granular synthesis toolkit based on an extension of the fof generator proceeding of the international computer music conference international computer music association san francisco eckel a spatial auditory display for the cyberstage proc international conference on auditory display electronic workshop in computing ewic series british computer society and springer glasgow fr hlich b vrgeo project description http fr hlich barrass zehner plate and g bel exploring geoscience data in virtual environment proceeding of ieee conference on visualization san fransisco gaver ww auditory icon interaction vol num lawrence erlbaum associate london hayward listening to the earth sing in kramer ed auditory display sonification audification and auditory interface sfi study in the science of complexity proceeding volume xviii publishing company reading ma kr ger and fr hlich b the responsive computer graphic and application may rogowitz be ling dt and kellogg wa task dependence veridicality and vision taking advantage of computer environment spie human vision visual processing and digital display pp selley rc element of petroleum geology second edition academic press isbn stevens s and galanter eh ratio scale and category scale for a dozen perceptual continuum journal of experimental psychology pp tramberend hasenbrink and froehlich b tool mediator and interaction operator a concept for interaction in virtual environment international immersive technology workshop stuttgart may,4
a new algorithm for learning range restricted horn expression extended abstract marta aria and roni khardon division of informatics university of edinburgh the building edinburgh scotland marta roni abstract a learning algorithm for the class of range restricted horn expression is presented and proved correct the algorithm work within the framework of learning from entailment where the goal is to exactly identify some and unknown expression by making question to membership and equivalence oracle this class ha been shown to be learnable in previous work the main contribution of this paper is in presenting a more direct algorithm for the problem which yield an improvement in term of the number of query made to the oracle the algorithm is also adapted to the class of horn expression with inequality on all syntactically distinct term where a significant improvement in the number of query is obtained reference aria and khardon learning inequated range restricted horn expression technical report division of informatics university of edinburgh march aria and khardon a new algorithm for learning range restricted horn expression technical report division of informatics university of edinburgh march hiroki arimura learning acyclic horn sentence from entailment in proceeding of the international conference on alt sendai japan lnai cohen recursive logic program efficient algorithm journal of artificial intelligence research cohen recursive logic program negative result journal of artificial intelligence research frazier and pitt learning from entailment an application to propositional horn sentence in proceeding of the international conference on machine learning page amherst ma morgan kaufmann khardon learning function free horn expression machine learning khardon learning range restricted horn expression in proceeding of the fourth european conference on computational learning theory page nordkirchen germany lnai khaoo roni khardon learning horn expression with to appear in icml lloyd foundation of logic programming springer verlag muggleton and feng efficient induction of logic program in muggleton editor inductive logic programming page demic press muggleton and de raedt inductive logic programming theory and method the journal of logic programming may plotkin a note on inductive generalization machine intelligence de raedt and bruynooghe an overview of the interactive and theory revisor clint in muggleton editor inductive logic programming page academic press rao and sattar learning from entailment of logic program with local variable in proceeding of the international conference on rithmic learning theory otzenhausen germany lnai reddy and tadepalli learning first order acyclic horn program from entailment in international conference on inductive logic programming page madison wi springer lnai semeraro esposito malerba and fanizzi a logic framework for the incremental inductive synthesis of datalog theory in proceeding of the international conference on logic program synthesis and transformation lopstr lnai shapiro algorithmic program debugging mit press cambridge ma,2
integrity constraint in ilp using a monte carlo approach alípio jorge pavel brazdil of porto rua do campo alegre porto portugal email amjorge pbrazdil http abstract many ilp system require large number of negative example to avoid overgeneralization this is a considerable disadvantage for many ilp application namely inductive program synthesis where relativelly small and sparse example set are a more realistic scenario integrity constraint are first order clause that can play the role of negative example in an inductive process one integrity constraint can replace a long list of ground negative example however checking the consistency of a program with a set of integrity constraint usually involves heavy we propose an efficient constraint satisfaction algorithm that applies to a wide variety of useful integrity constraint and us a monte carlo strategy it look for inconsistency by random generation of query to the program this method allows the use of integrity constraint instead of or together with negative example a a consequence program to induce can be specified more rapidly by the user and the ilp system tends to obtain more accurate definition average running time are not greatly affected by the use of integrity constraint compared to ground negative example reference aha lapointe ling matwin s inverting implication with small training set proceeding of the european conference on machine learning ed bergadano and de raedt springer verlag bergadano gunneti and trinchero u the difficulty of learning logic program with cut journal of artificial intelligence research ai access foundation and morgan kaufmann publisher brazdil jorge a learning by refining algorithm sketch proceeding of cohn wiley de raedt lavrac dzeroski multiple predicate learning proceeding of de raedt interactive theory revision an inductive logic programming approach academic press deville lau logic program synthesis the journal of logic programming special issue ten year of logic programming volume hogger j essential of logic programming graduate text in computer science series oxford university press p efficient induction of recursive definition by efficient analysis of saturation advance in inductive logic programming ed by luc de raedt jorge and brazdil architecture for iterative learning of recursive definition advance in inductive logic programming ed by luc de raedt lavrac and dzeroski inductive logic programming technique and application elli horwood manthey and bry satchmo a theorem prover implemented in prolog proceeding of cade conference on automated deduction verlag muggleton de raedt inductive logic programming the journal of logic programming special issue ten year of logic programming volume muggleton stochastic logic program advance in inductive logic programming ed by luc de raedt io muggleton inductive logic programming derivation success and shortcoming proceeding of quinlan learning logical definition from relation machine learning quinlan foil a midterm report proceeding of quinlan learning definition of function journal of artificial intelligence research to appear sadri kowaiski a theorem proving approach to database integrity in deductive database and logic programming ed by jack minker morgan kaufmann publisher shapiro algorithmic program debugging mit press cambridge ma zelle j m mooney r j konvisser j b combining and technique in inductive logic programming proceeding of the eleventh international conference on machine learning,2
